question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,answer
"Characterize the scientific field of this publication. The paper 'Quantum-inspired algorithm for simulating viral response' by D. O. Konina, D. I. Korbashov, I. V. Kovalchuk, A. A. Nizamieva, D. A. Chermoshentsev, A. K. Fedorov describes: 'Understanding the properties of biological systems is an exciting avenue for applying advanced approaches to solving corresponding computational tasks. A specific class of problems that arises in the resolution of biological challenges is optimization. In this work, we present the results of a proof-of-concept study that applies a quantum-inspired optimization algorithm to simulate a viral response. We formulate an Ising-type model to describe the patterns of gene activity in host responses. Reducing the problem to the Ising form allows the use of available quantum and quantum-inspired optimization tools. We demonstrate the application of a quantum-inspired optimization algorithm to this problem. Our study paves the way for exploring the full potential of quantum and quantum-inspired optimization tools in biological applications.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"Determine which scientific category this research belongs to: Title 'Kinetic magnetism in the crossover between the square and triangular   lattice Fermi-Hubbard models', Researcher(s) Darren Pereira, Erich J. Mueller, Findings 'We calculate the spin correlations that result from the motion of a single dopant in the hard-core Fermi-Hubbard model, as the geometry evolves from a square to a triangular lattice. In particular, we consider the square lattice with an additional hopping along one diagonal, whose strength is continuously varied. We use a high-temperature expansion which expresses the partition function as a sum over closed paths taken by the dopant. We sample thousands of diagrams in the space of closed paths using the quantum Monte Carlo approach of Raghavan and Elser [1,2], which is free of finite-size effects and allows us to simulate temperatures as low as $T \sim 0.3|t|$, even in cases where there is a sign problem. For the case of a hole dopant, we find a crossover from kinetic ferromagnetism to kinetic antiferromagnetism as the geometry is tuned from square to triangular, which can be observed in current quantum gas microscopes.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"Determine which scientific category this research belongs to: Title 'Quantum Error Correction Exploiting Degeneracy to Approach the Hashing   Bound', Researcher(s) Kenta Kasai, Findings 'Quantum error correction is essential for realizing scalable quantum computation. Among various approaches, low-density parity-check codes over higher-order Galois fields have shown promising performance due to their structured sparsity and compatibility with iterative decoding algorithms whose computational complexity scales linearly with the number of physical qubits. In this work, we demonstrate that explicitly exploiting the degeneracy of quantum errors can significantly enhance the decoding performance. Simulation results over the depolarizing channel indicate that the proposed method, at a coding rate of 1/3, achieves a frame error rate as low as $10^{-4}$ at a physical error rate of 9.45% for a code with 104,000 logical qubits and 312,000 physical qubits, approaching the quantum hashing bound. These findings highlight the critical role of degeneracy in closing the gap to the fundamental limits of quantum error correction.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"For archival purposes, classify this academic work: Title - 'An efficient construction of Raz's two-source randomness extractor with   improved parameters', Contributors - Cameron Foreman, Lewis Wooltorton, Kevin Milner, Florian J. Curchod, Content - 'Randomness extractors are algorithms that distill weak random sources into near-perfect random numbers. Two-source extractors enable this distillation process by combining two independent weak random sources. Raz's extractor (STOC '05) was the first to achieve this in a setting where one source has linear min-entropy (i.e., proportional to its length), while the other has only logarithmic min-entropy in its length. However, Raz's original construction is impractical due to a polynomial computation time of at least degree 4. Our work solves this problem by presenting an improved version of Raz's extractor with quasi-linear computation time, as well as a new analytic theorem with reduced entropy requirements. We provide comprehensive analytical and numerical comparisons of our construction with others in the literature, and we derive strong and quantum-proof versions of our efficient Raz extractor. Additionally, we offer an easy-to-use, open-source code implementation of the extractor and a numerical parameter calculation module.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"This academic paper titled 'Interpretable representation learning of quantum data enabled by   probabilistic variational autoencoders' by Paulin de Schoulepnikoff, Gorka Muñoz-Gil, Hendrik Poulsen Nautrup, Hans J. Briegel has the abstract: 'Interpretable machine learning is rapidly becoming a crucial tool for scientific discovery. Among existing approaches, variational autoencoders (VAEs) have shown promise in extracting the hidden physical features of some input data, with no supervision nor prior knowledge of the system at study. Yet, the ability of VAEs to create meaningful, interpretable representations relies on their accurate approximation of the underlying probability distribution of their input. When dealing with quantum data, VAEs must hence account for its intrinsic randomness and complex correlations. While VAEs have been previously applied to quantum data, they have often neglected its probabilistic nature, hindering the extraction of meaningful physical descriptors. Here, we demonstrate that two key modifications enable VAEs to learn physically meaningful latent representations: a decoder capable of faithfully reproduce quantum states and a probabilistic loss tailored to this task. Using benchmark quantum spin models, we identify regimes where standard methods fail while the representations learned by our approach remain meaningful and interpretable. Applied to experimental data from Rydberg atom arrays, the model autonomously uncovers the phase structure without access to prior labels, Hamiltonian details, or knowledge of relevant order parameters, highlighting its potential as an unsupervised and interpretable tool for the study of quantum systems.'. Which scientific discipline does it represent?",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"Given the research paper with title 'Old Quantum Mechanics by Bohr and Sommerfeld from a Modern Perspective' by Kamal K. Barley, Andreas Ruffing, Sergei K. Suslov, and the following abstract: 'We review Bohr's atomic model and its extension by Sommerfeld from a mathematical perspective of wave mechanics. The derivation of quantization rules and energy levels is revisited using semiclassical methods. Sommerfeld-type integrals are evaluated by elementary techniques, and connections with the Schr\""{o}dinger and Dirac equations are established. Historical developments and key transitions from classical to quantum theory are discussed to clarify the structure and significance of the old quantum mechanics.', classify this work into its appropriate scientific domain.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"Title: 'Learning to Maximize Quantum Neural Network Expressivity via Effective   Rank', Authors: Juan Yao, Abstract: 'Quantum neural networks (QNNs) are widely employed as ans\""atze for solving variational problems, where their expressivity directly impacts performance. Yet, accurately characterizing QNN expressivity remains an open challenge, impeding the optimal design of quantum circuits. In this work, we introduce the effective rank, denoted as $\kappa$, as a novel quantitative measure of expressivity. Specifically, $\kappa$ captures the number of effectively independent parameters among all the variational parameters in a parameterized quantum circuit, thus reflecting the true degrees of freedom contributing to expressivity. Through a systematic analysis considering circuit architecture, input data distributions, and measurement protocols, we demonstrate that $\kappa$ can saturate its theoretical upper bound, $d_n=4^n-1$, for an $n$-qubit system when each of the three factors is optimally expressive. This result provides a rigorous framework for assessing QNN expressivity and quantifying their functional capacity. Building on these theoretical insights, and motivated by the vast and highly structured nature of the circuit design space, we employ $\kappa$ as a guiding metric for the automated design of highly expressive quantum circuit configurations. To this end, we develop a reinforcement learning framework featuring a self-attention transformer agent that autonomously explores and optimizes circuit architectures. By integrating theoretical characterization with practical optimization, our work establishes $\kappa$ as a robust tool for quantifying QNN expressivity and demonstrates the effectiveness of reinforcement learning in designing high-performance quantum circuits. This study paves the way for building more expressive QNN architectures, ultimately enhancing the capabilities of quantum machine learning.'. Classify the scientific category.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"Evaluate and categorize this research contribution: 'Fully Quantum Lattice Gas Automata Building Blocks for Computational   Basis State Encodings' by Călin A. Georgescu, Merel A. Schalkers, Matthias Möller. Research summary: 'Lattice Gas Automata (LGA) is a classical method for simulating physical phenomena, including Computational Fluid Dynamics (CFD). Quantum LGA (QLGA) is the family of methods that implement LGA schemes on quantum computers. In recent years, QLGA has garnered attention from researchers thanks to its potential of efficiently modeling CFD processes by either reducing memory requirements or providing simultaneous representations of exponentially many LGA states. In this work, we introduce novel building blocks for QLGA algorithms that rely on computational basis state encodings. We address every step of the algorithm, from initial conditions to measurement, and provide detailed complexity analyses that account for all discretization choices of the system under simulation. We introduce multiple ways of instantiating initial conditions, efficient boundary condition implementations for novel geometrical patterns, a novel collision operator that models less restricted interactions than previous implementations, and quantum circuits that extract quantities of interest out of the quantum state. For each building block, we provide intuitive examples and open-source implementations of the underlying quantum circuits.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"This academic paper titled 'Supercurrent modulation in InSb nanoflag-based Josephson junctions by   scanning gate microscopy' by Antonio Lombardi, Gaurav Shukla, Giada Bucci, Sedighe Salimian, Valentina Zannier, Simone Traverso, Samuele Fracassi, Niccolo Traverso Ziani, Maura Sassetti, Matteo Carrega, Fabio Beltram, Lucia Sorba, Stefan Heun has the abstract: 'InSb nanoflags represent an interesting platform for quantum transport and have recently been exploited in the study of hybrid planar Josephson junctions. Due to the uncovered semiconductor surface, they are also good candidates for surface probe techniques. Here, we report the first Scanning Gate Microscopy (SGM) experiments on Nb-contacted InSb nanoflag-based Josephson junctions. In the normal state, sizable conductance modulation via the charged tip of the SGM is recorded. In the superconducting state, we report the first application of Scanning Gate Microscopy to superconducting weak links, demonstrating the possibility of manipulating the supercurrent flow across a semiconductor-superconductor heterostructure at a local level. The experimental findings are consistent with theoretical predictions and establish a new way of investigating the behavior of superconducting weak links, towards the local imaging of supercurrent flow.'. Which scientific discipline does it represent?",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
"Identify the research domain for this publication: 'Classical-quantum systems breaking conservation laws' (Authors: Masahiro Hotta, Sebastian Murk, Daniel R. Terno). Abstract: 'Whether gravity must be quantized remains one of the biggest open problems in fundamental physics. Classical-quantum hybrid theories have recently attracted attention as a possible framework in which gravity is treated classically yet interacts consistently with quantum matter. Schemes based on completely positive dynamics satisfy most formal consistency requirements and enable a systematic treatment of quantum backreaction, but they also give rise to features that challenge conventional physical intuition, such as the breakdown of conservation laws. To illustrate this issue, we consider a qubit interacting with a classical particle and demonstrate that the corresponding hybrid system violates angular momentum conservation despite the rotational symmetry of the underlying equations of motion.'.",quant-ph,physics.chem-ph,physics.atom-ph,cond-mat.soft,cs.RO,cs.CL,cs.SE,cs.IR,hep-th,hep-ph,physics.optics,cs.AI,cs.CV,nucl-th,astro-ph,math.PR,cs.OS,eess.SP,math.OC,math.DS,math.DG,math.MP,cs.MM,stat.ME,math.CO,cs.NE,A
